id,sourcePort,destinationPort,distance
120,Bintulu (BIN),Sandakan (SAN),531
121,Bintulu (BIN),Sandakan (SAN),531
122,Bintulu (BIN),Singapore (SG),600
123,Bintulu (BIN),Sungai Guntung (SGGT),600
124,Bintulu (BIN),Sipitang (SIP),280
125,Bintulu (BIN),Songkhla (SK),802
126,Bintulu (BIN),Semarang - Tanjung Emas (SRG),845
127,Bintulu (BIN),Sarekei (SRK),216
128,Bintulu (BIN),Surabaya (SUBY),918
129,Bintulu (BIN),Tacloban (TAC),970
130,Bintulu (BIN),Tagbilaran (TAG),843
131,Bintulu (BIN),Tawau (TAW),785
132,Bintulu (BIN),Terengganu (TGG),628
133,Bintulu (BIN),Tanjong Manis (TGM),170
134,Bintulu (BIN),Tanjung Batu (TJQ),570
135,Bintulu (BIN),Tanjung Priok (TP),776
136,Bintulu (BIN),Vung Ang (VAG),1192
137,Bintulu (BIN),Can Tho (VCA),602
138,Bangkok (BK),Ayutthaya - Bangpain (AB),43
139,Bangkok (BK),Ayutthaya - Nakorn Luang (ANL),90
140,Bangkok (BK),Bangpakong (BAK),59
141,Bangkok (BK),Batam (BAT),861
142,Bangkok (BK),Bahodopi (BHDP),2180
143,Bangkok (BK),Beihai (BHY),1620
144,Bangkok (BK),Bintulu (BIN),1181
145,Bangkok (BK),Balikpapan (BPN),1815
146,Bangkok (BK),Brunei (BRU),1327
147,Bangkok (BK),Belawan (BRW),1230
148,Bangkok (BK),Bang Sapan (BS),178
149,Bangkok (BK),Kolkata (CCU),2545
150,Bangkok (BK),Cayagan de Oro City (Macabalan wharf) (CDO),1880
151,Bangkok (BK),Cigading (CIG),1320
152,Bangkok (BK),Cat Lai (CLI),690
153,Bangkok (BK),Cai Lan (CLN),1450
154,Bangkok (BK),Chantaburi LaemSing (CLS),165
155,Bangkok (BK),Cam Pha (CPH),1483
156,Bangkok (BK),Chittagong (CTG),2390
157,Bangkok (BK),Danang (DAD),1155
158,Bangkok (BK),Dumai (DMI),1100
159,Bangkok (BK),Dung Quat (DQT),1030
160,Bangkok (BK),Davao (Sasa Wharf) (DVO),2047
161,Bangkok (BK),Futong (FTG),1070
162,Bangkok (BK),Godau port  (GDP),671
163,Bangkok (BK),HO CHI MINH (HCM),690
164,Bangkok (BK),Hong Kong (HKG),1690
165,Bangkok (BK),Hon Gai (HON),1480
166,Bangkok (BK),Haiphong (HPH),1429
167,Bangkok (BK),Rayong (IRPC),125
168,Bangkok (BK),Jakarta (JAK),1320
169,Bangkok (BK),Jambi (JBI),300
170,Bangkok (BK),Khanom (KHM),295
171,Bangkok (BK),K.K. Kota Kinabalu (KK),1410
172,Bangkok (BK),Kedah (KKH),1260
